,State,Month,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Deaths,% of Total Deaths,T-1,D-1,o3-1,SO2-1,CO-1,C_D,C_o3,C_SO2,C_CO
65,California,6,2010,7.117970842259721,0.0311550792369772,0.6255561438004402,0.2396985319148936,1570,0.10%,0.0,1615.0,0.0298898184908225,0.9591241791298436,0.2433174949014276,-45.0,0.0012652607461547012,-0.3335680353294034,-0.0036189629865339967
66,California,7,2000,12.2811553420026,0.026839189856957,1.4915394161248374,0.3541020526657997,1577,0.10%,1.0,1570.0,0.0311550792369772,0.6255561438004402,0.2396985319148936,0.0,0.0,0.0,0.0
67,California,7,2001,12.370355706064355,0.0279184232673267,1.8366345327970297,0.3658268715965346,1676,0.10%,0.0,1577.0,0.026839189856957,1.4915394161248374,0.3541020526657997,99.0,0.001079233410369699,0.3450951166721923,0.011724818930734904
68,California,7,2002,11.236211003785488,0.0302555558359621,1.862895351735016,0.3384782876971609,1577,0.10%,0.0,1676.0,0.0279184232673267,1.8366345327970297,0.3658268715965346,-99.0,0.0023371325686354014,0.026260818937986263,-0.027348583899373724
69,California,7,2003,12.395464789037604,0.0295097660930529,1.9322080229445504,0.4191570478011472,1667,0.10%,0.0,1577.0,0.0302555558359621,1.862895351735016,0.3384782876971609,90.0,-0.0007457897429092031,0.06931267120953444,0.08067876010398634
70,California,7,2004,9.840813375170532,0.0283746098226466,1.6560650470668483,0.3350088021828104,1490,0.10%,0.0,1667.0,0.0295097660930529,1.9322080229445504,0.4191570478011472,-177.0,-0.0011351562704062998,-0.2761429758777021,-0.08414824561833684
71,California,7,2005,10.300023880534082,0.0291578011243851,2.117986286718201,0.3503919652143359,1609,0.10%,0.0,1490.0,0.0283746098226466,1.6560650470668483,0.3350088021828104,119.0,0.0007831913017385013,0.46192123965135257,0.015383163031525537
72,California,7,2006,10.19695207472826,0.028487995923913,1.435658080842391,0.2956742751358696,1687,0.10%,0.0,1609.0,0.0291578011243851,2.117986286718201,0.3503919652143359,78.0,-0.0006698052004720997,-0.6823282058758098,-0.05471769007846633
73,California,7,2007,8.289924255400255,0.0264490076238881,1.0240666048284626,0.2626725457433291,1494,0.10%,0.0,1687.0,0.028487995923913,1.435658080842391,0.2956742751358696,-193.0,-0.0020389883000248993,-0.41159147601392854,-0.03300172939254048
74,California,7,2008,8.97633914497717,0.0308321084474885,1.086952928652968,0.2868257425799086,1525,0.10%,0.0,1494.0,0.0264490076238881,1.0240666048284626,0.2626725457433291,31.0,0.004383100823600401,0.06288632382450543,0.024153196836579516
75,California,7,2009,8.702256219844358,0.0294370123216601,0.9193262665369648,0.2581818910505836,1591,0.10%,0.0,1525.0,0.0308321084474885,1.086952928652968,0.2868257425799086,66.0,-0.0013950961258284017,-0.1676266621160032,-0.028643851529325026
76,California,7,2010,7.851520052136133,0.0302645003620564,0.707519103186097,0.2382822787834902,1545,0.10%,0.0,1591.0,0.0294370123216601,0.9193262665369648,0.2581818910505836,-46.0,0.0008274880403962986,-0.2118071633508678,-0.019899612267093386
77,California,8,2000,14.335671875989446,0.027200426121372,1.866099998021108,0.433842882585752,1547,0.10%,1.0,1545.0,0.0302645003620564,0.707519103186097,0.2382822787834902,0.0,0.0,0.0,0.0
78,California,8,2001,14.53728687515763,0.0269855889029003,1.8716155384615385,0.4165196651954603,1471,0.10%,0.0,1547.0,0.027200426121372,1.866099998021108,0.433842882585752,-76.0,-0.00021483721847169804,0.005515540440430566,-0.01732321739029169
79,California,8,2002,13.722020596692111,0.0332000076335877,1.5041589039440204,0.4589687290076336,1502,0.10%,0.0,1471.0,0.0269855889029003,1.8716155384615385,0.4165196651954603,31.0,0.006214418730687399,-0.3674566345175181,0.04244906381217328
80,California,8,2003,12.53660585858586,0.0279621481481481,1.5675399168350168,0.4286092228956228,1549,0.10%,0.0,1502.0,0.0332000076335877,1.5041589039440204,0.4589687290076336,47.0,-0.005237859485439599,0.0633810128909964,-0.03035950611201077
81,California,8,2004,10.705866331071912,0.0288560189959294,1.9887209111261877,0.3133202157394844,1563,0.10%,0.0,1549.0,0.0279621481481481,1.5675399168350168,0.4286092228956228,14.0,0.000893870847781298,0.42118099429117084,-0.11528900715613843
82,California,8,2005,11.096509536419331,0.0297711837985023,2.0505727055820286,0.3358248202859087,1557,0.10%,0.0,1563.0,0.0288560189959294,1.9887209111261877,0.3133202157394844,-6.0,0.0009151648025729001,0.06185179445584099,0.022504604546424334
83,California,8,2006,9.99454679644128,0.0310675473309608,1.5511494569395017,0.2870187693950178,1519,0.10%,0.0,1557.0,0.0297711837985023,2.0505727055820286,0.3358248202859087,-38.0,0.0012963635324585027,-0.49942324864252696,-0.048806050890890906
84,California,8,2007,9.957181927536231,0.0294600724637681,1.1261933498023715,0.3042805105401844,1433,0.10%,0.0,1519.0,0.0310675473309608,1.5511494569395017,0.2870187693950178,-86.0,-0.0016074748671927007,-0.42495610713713017,0.017261741145166598
85,California,8,2008,8.774282977011493,0.0270382471264367,0.9427216649425288,0.2518775977011494,1504,0.10%,0.0,1433.0,0.0294600724637681,1.1261933498023715,0.3042805105401844,71.0,-0.0024218253373314014,-0.18347168485984267,-0.052402912839034976
86,California,8,2009,10.51052410996119,0.02976642690815,0.866562628072445,0.3273964075032342,1580,0.10%,0.0,1504.0,0.0270382471264367,0.9427216649425288,0.2518775977011494,76.0,0.0027281797817133024,-0.07615903687008385,0.07551880980208475
87,California,8,2010,10.217791405898875,0.0283554971910112,0.6619470351123595,0.2531043047752809,1531,0.10%,0.0,1580.0,0.02976642690815,0.866562628072445,0.3273964075032342,-49.0,-0.0014109297171388015,-0.20461559296008547,-0.07429210272795328
88,California,9,2000,16.6362293632287,0.0253102107623318,1.776573649476831,0.4907246614349776,1550,0.10%,1.0,1531.0,0.0283554971910112,0.6619470351123595,0.2531043047752809,0.0,0.0,0.0,0.0
89,California,9,2001,17.160668633607074,0.0263821459254579,2.084408997789009,0.4973050025268478,1500,0.10%,0.0,1550.0,0.0253102107623318,1.776573649476831,0.4907246614349776,-50.0,0.001071935163126099,0.30783534831217807,0.006580341091870168
90,California,9,2002,17.17359656459948,0.0285327519379844,1.8244240051679588,0.5243813223514212,1518,0.10%,0.0,1500.0,0.0263821459254579,2.084408997789009,0.4973050025268478,18.0,0.0021506060125265,-0.25998499262105024,0.027076319824573425
91,California,9,2003,14.546862237891736,0.0302860028490028,1.6053867571225071,0.476932094017094,1561,0.10%,0.0,1518.0,0.0285327519379844,1.8244240051679588,0.5243813223514212,43.0,0.001753250911018401,-0.21903724804545166,-0.04744922833432719
92,California,9,2004,14.959138941095889,0.0314767479452054,2.236884261643836,0.4185481869863013,1453,0.10%,0.0,1561.0,0.0302860028490028,1.6053867571225071,0.476932094017094,-108.0,0.001190745096202598,0.6314975045213287,-0.058383907030792714
93,California,9,2005,13.517463491643454,0.028422909470752,1.9419246559888577,0.3846684749303621,1438,0.10%,0.0,1453.0,0.0314767479452054,2.236884261643836,0.4185481869863013,-15.0,-0.0030538384744534,-0.29495960565497814,-0.033879712055939204
94,California,9,2006,13.351253387905604,0.0288635103244837,1.5009612072271383,0.3463948421828908,1517,0.10%,0.0,1438.0,0.028422909470752,1.9419246559888577,0.3846684749303621,79.0,0.00044060085373169924,-0.44096344876171933,-0.03827363274747131
95,California,9,2007,10.634737324742268,0.0290966288659793,1.1462997731958764,0.3386036546391752,1397,0.10%,0.0,1517.0,0.0288635103244837,1.5009612072271383,0.3463948421828908,-120.0,0.00023311854149560274,-0.35466143403126194,-0.007791187543715605
96,California,9,2008,11.471645349753691,0.0290057130541871,1.0435375671182263,0.319131362684729,1376,0.10%,0.0,1397.0,0.0290966288659793,1.1462997731958764,0.3386036546391752,-21.0,-9.091581179219987e-05,-0.10276220607765008,-0.019472291954446164
97,California,9,2009,11.963806491631798,0.0293354086471408,0.968317190725244,0.341672250348675,1461,0.10%,0.0,1376.0,0.0290057130541871,1.0435375671182263,0.319131362684729,85.0,0.00032969559295369794,-0.07522037639298229,0.022540887663945963
98,California,9,2010,13.64982939516129,0.0274797822580645,0.7705407607526882,0.3410827157258064,1494,0.10%,0.0,1461.0,0.0293354086471408,0.968317190725244,0.341672250348675,33.0,-0.001855626389076298,-0.19777642997255585,-0.0005895346228685927
99,California,10,2000,16.783104755971596,0.0236451032924467,1.7372956972240154,0.5645806097482247,1622,0.10%,1.0,1494.0,0.0274797822580645,0.7705407607526882,0.3410827157258064,0.0,0.0,0.0,0.0
100,California,10,2001,21.8330435,0.0243073467933491,1.9252957315914487,0.7014476294536818,1629,0.10%,0.0,1622.0,0.0236451032924467,1.7372956972240154,0.5645806097482247,7.0,0.0006622435009023993,0.1880000343674333,0.13686701970545712
101,California,10,2002,18.48717856391876,0.0285918733572282,1.6339709743130226,0.6122780418160095,1712,0.10%,0.0,1629.0,0.0243073467933491,1.9252957315914487,0.7014476294536818,83.0,0.0042845265638791,-0.2913247572784261,-0.08916958763767224
102,California,10,2003,20.624261367054,0.0253271086807928,1.4118496425153797,0.6992433349282297,1622,0.10%,0.0,1712.0,0.0285918733572282,1.6339709743130226,0.6122780418160095,-90.0,-0.003264764676435397,-0.22212133179764293,0.08696529311222012
103,California,10,2004,15.880953514705883,0.0248318863636363,2.1133516343582888,0.4913040989304813,1589,0.10%,0.0,1622.0,0.0253271086807928,1.4118496425153797,0.6992433349282297,-33.0,-0.0004952223171565025,0.7015019918429091,-0.20793923599774833
104,California,10,2005,16.407304032122905,0.0238814008379888,1.748961722765363,0.4730119490223464,1653,0.10%,0.0,1589.0,0.0248318863636363,2.1133516343582888,0.4913040989304813,64.0,-0.0009504855256474987,-0.36438991159292566,-0.018292149908134936
105,California,10,2006,15.649594843661973,0.0254851070422535,1.5016291866197182,0.4474140267605633,1626,0.10%,0.0,1653.0,0.0238814008379888,1.748961722765363,0.4730119490223464,-27.0,0.0016037062042646988,-0.24733253614564488,-0.02559792226178309
106,California,10,2007,16.122166788578372,0.0240506208991494,1.3623505036452006,0.5175400048602673,1635,0.10%,0.0,1626.0,0.0254851070422535,1.5016291866197182,0.4474140267605633,9.0,-0.0014344861431041002,-0.13927868297451762,0.070125978099704
107,California,10,2008,17.586118031782064,0.024393345062429,1.2461813024971624,0.4615483989784336,1534,0.10%,0.0,1635.0,0.0240506208991494,1.3623505036452006,0.5175400048602673,-101.0,0.00034272416327960076,-0.11616920114803819,-0.05599160588183372
108,California,10,2009,13.840189266853931,0.0244849332865168,0.8073980653089887,0.4054545115870787,1823,0.10%,0.0,1534.0,0.024393345062429,1.2461813024971624,0.4615483989784336,289.0,9.158822408780048e-05,-0.4387832371881737,-0.0560938873913549
109,California,10,2010,12.3358280480167,0.0243635525400139,0.5476468928322895,0.3085840842032011,1522,0.10%,0.0,1823.0,0.0244849332865168,0.8073980653089887,0.4054545115870787,-301.0,-0.00012138074650290195,-0.2597511724766992,-0.09687042738387758
110,California,11,2000,24.35286988207861,0.0145909746835443,2.041186081279147,0.9738665163224516,1814,0.10%,1.0,1522.0,0.0243635525400139,0.5476468928322895,0.3085840842032011,0.0,0.0,0.0,0.0
111,California,11,2001,22.492816012594457,0.0166747581863979,1.7131624546599495,0.88127365302267,1747,0.10%,0.0,1814.0,0.0145909746835443,2.041186081279147,0.9738665163224516,-67.0,0.002083783502853598,-0.3280236266191976,-0.09259286329978156
112,California,11,2002,23.555592718015664,0.0175409308093994,1.9109689738903397,0.9116982036553524,1778,0.10%,0.0,1747.0,0.0166747581863979,1.7131624546599495,0.88127365302267,31.0,0.0008661726230015029,0.19780651923039017,0.030424550632682346
113,California,11,2003,19.14465905726257,0.0167584888268156,1.259717592877095,0.6818468603351956,1892,0.10%,0.0,1778.0,0.0175409308093994,1.9109689738903397,0.9116982036553524,114.0,-0.0007824419825838008,-0.6512513810132448,-0.22985134332015678
114,California,11,2004,18.821266056277054,0.0177349682539682,2.1738128383838387,0.6282803823953824,1700,0.10%,0.0,1892.0,0.0167584888268156,1.259717592877095,0.6818468603351956,-192.0,0.0009764794271526003,0.9140952455067437,-0.05356647793981317
115,California,11,2005,20.02297270305677,0.0182899155749636,1.7334520880640465,0.6571349803493449,1720,0.10%,0.0,1700.0,0.0177349682539682,2.1738128383838387,0.6282803823953824,20.0,0.0005549473209954005,-0.44036075031979216,0.028854597953962502
116,California,11,2006,18.973971646888565,0.0180442098408104,1.6699931620839363,0.5944050195369031,1708,0.10%,0.0,1720.0,0.0182899155749636,1.7334520880640465,0.6571349803493449,-12.0,-0.00024570573415320235,-0.06345892598011016,-0.06272996081244187
117,California,11,2007,18.590706578879587,0.0188007173213135,1.1693684378622022,0.5764102247263361,1674,0.10%,0.0,1708.0,0.0180442098408104,1.6699931620839363,0.5944050195369031,-34.0,0.0007565074805031026,-0.5006247242217341,-0.017994794810566983
118,California,11,2008,17.512875158139536,0.0170064069767441,1.225148176744186,0.5298797813953489,1597,0.10%,0.0,1674.0,0.0188007173213135,1.1693684378622022,0.5764102247263361,-77.0,-0.0017943103445694011,0.05577973888198384,-0.046530443330987215
119,California,11,2009,19.26357814820249,0.0185706911225238,0.9093479479090242,0.5710438305209098,1898,0.10%,0.0,1597.0,0.0170064069767441,1.225148176744186,0.5298797813953489,301.0,0.0015642841457797,-0.3158002288351619,0.04116404912556093
120,California,11,2010,15.92506772861357,0.0198607831858407,0.6215345412979351,0.4331453502949852,1657,0.10%,0.0,1898.0,0.0185706911225238,0.9093479479090242,0.5710438305209098,-241.0,0.0012900920633169,-0.2878134066110891,-0.1378984802259246
121,California,12,2000,27.78662746553966,0.0113229271781534,2.4339105292587777,1.2325882841352405,2106,0.10%,1.0,1657.0,0.0198607831858407,0.6215345412979351,0.4331453502949852,0.0,0.0,0.0,0.0
122,California,12,2001,20.66138459191176,0.0148182585784313,1.80038168627451,0.958893119485294,2093,0.10%,0.0,2106.0,0.0113229271781534,2.4339105292587777,1.2325882841352405,-13.0,0.0034953314002779,-0.6335288429842678,-0.2736951646499465
123,California,12,2002,21.39352431914893,0.0169370186170212,1.608452407579787,0.9078080412234044,1976,0.10%,0.0,2093.0,0.0148182585784313,1.80038168627451,0.958893119485294,-117.0,0.0021187600385898994,-0.19192927869472287,-0.05108507826188957
124,California,12,2003,21.27846678533333,0.014406872,1.4773108786666664,0.864083538,3012,0.10%,0.0,1976.0,0.0169370186170212,1.608452407579787,0.9078080412234044,1036.0,-0.0025301466170212002,-0.1311415289131206,-0.043724503223404376
125,California,12,2004,19.692274931772577,0.0154640240802675,2.014423925083612,0.7089935337792641,2013,0.10%,0.0,3012.0,0.014406872,1.4773108786666664,0.864083538,-999.0,0.0010571520802675014,0.5371130464169454,-0.15509000422073593
126,California,12,2005,19.74486958208955,0.0135690230664857,1.7389608364993216,0.7224705006784261,2634,0.10%,0.0,2013.0,0.0154640240802675,2.014423925083612,0.7089935337792641,621.0,-0.0018950010137818007,-0.27546308858429014,0.013476966899162002
127,California,12,2006,19.49327087613293,0.0151684934541792,1.673735828801611,0.7080347828130246,1934,0.10%,0.0,2634.0,0.0135690230664857,1.7389608364993216,0.7224705006784261,-700.0,0.0015994703876934992,-0.06522500769771056,-0.014435717865401543
128,California,12,2007,16.217355890914614,0.0182982127013065,1.1317496031601335,0.5300466165299301,1894,0.10%,0.0,1934.0,0.0151684934541792,1.673735828801611,0.7080347828130246,-40.0,0.003129719247127301,-0.5419862256414776,-0.17798816628309444
129,California,12,2008,16.49897623496027,0.0154489750283768,1.1798793842224744,0.4909672099886492,1857,0.10%,0.0,1894.0,0.0182982127013065,1.1317496031601335,0.5300466165299301,-37.0,-0.002849237672929701,0.04812978106234089,-0.03907940654128095
130,California,12,2009,18.694545432226832,0.0151908478561549,1.029541807745505,0.5687261199861687,2072,0.10%,0.0,1857.0,0.0154489750283768,1.1798793842224744,0.4909672099886492,215.0,-0.00025812717222189856,-0.15033757647696944,0.07775890999751955
131,California,12,2010,15.761018438108485,0.0160604228094575,0.7448089130737136,0.4558646230876217,1927,0.10%,0.0,2072.0,0.0151908478561549,1.029541807745505,0.5687261199861687,-145.0,0.000869574953302598,-0.2847328946717914,-0.11286149689854702
